a52dec 0.7.4-10
libssh 0.9.3-1
libssh2 1.9.0-2
libstaroffice 0.0.6-1
libstemmer 0+713-1
libsynctex 2019.51075-4
libtar 1.2.20-4
libtasn1 4.15.0-1
libteam 1.29-4
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.1.0-1
libtirpc 1.1.4-2
libtommath 1.2.0-1
libtool 2.4.6+42+gb88cebd5-8
libtorrent-rasterbar 1:1.1.13-4
libunistring 0.9.10-2
libunwind 1.3.1-1
libupnp 1.6.25-1
liburcu 0.11.0-1
libusb 1.0.23-2
libusbmuxd 2.0.0-2
libutil-linux 2.34-8
libva 2.5.0-1
libvdpau 1.3-1
libvirt 5.9.0-1
libvirt-glib 2.0.0-1
libvisio 0.1.7-2
libvisual 0.4.0-7
libvncserver 0.9.12-1
libvoikko 4.3-1
libvorbis 1.3.6-1
libvpx 1.8.1-1
libwacom 1.1-1
libwbclient 4.10.10-2
libwebp 1.0.3-1
libwmf 0.2.12-1
libwnck3 3.32.0-2
libwpd 0.10.3-1
libwpe 1.4.0.1-1
libwpg 0.3.3-1
libwps 0.4.10-1
libx11 1.6.9-3
libxau 1.0.9-1
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.5-1
libxcursor 1.2.0-1
libxdamage 1.1.5-1
libxdmcp 1.1.3-1
libxext 1.3.4-1
libxfce4ui 4.14.1-2
libxfce4util 4.14.0-1
libxfixes 5.0.3-2
libxfont2 2.0.4-1
libxft 2.3.3-1
libxi 1.7.10-1
libxinerama 1.1.4-1
libxkbcommon 0.9.1-1
libxkbcommon-x11 0.9.1-1
libxkbfile 1.1.0-1
libxklavier 5.4-2
libxml2 2.9.10-1
libxmu 1.1.3-1
libxpm 3.5.12-2
libxrandr 1.5.2-1
libxrender 0.9.10-2
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.34-2
libxss 1.2.3-1
libxt 1.2.0-1
libxtst 1.2.3-2
libxv 1.0.11-2
libxvmc 1.0.12-2
libxxf86dga 1.1.5-1
libxxf86vm 1.1.4-2
libyaml 0.2.2-1
libzapojit 0.0.3+14+g2dace3f-1
libzip 1.5.2-2
libzmf 0.0.2-7
licenses 20191011-2
linux-api-headers 5.3.1-2
linux-firmware 20191118.e8a0f4c-2
linux-lts 4.19.88-1
linux-lts-headers 4.19.88-1
llvm-libs 9.0.0-4
lm_sensors 3.6.0-1
lmdb 0.9.24-1
logrotate 3.15.1-2
lpsolve 5.5.2.5-3
lsb-release 1.4-15
lsd 0.16.0-1
lshw B.02.18-3
lua 5.3.5-2
lua52 5.2.4-4
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-4
lua52-lpeg 1.0.2-1
lua52-luajson 1.3.4-2
lua52-socket 20190219-1
luajit 2.0.5-2
lvm2 2.02.186-3
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.48+14+g5811758-1
make 4.2.1-4
man-db 2.9.0-1
man-pages 5.04-2
mariadb 10.4.10-2
mariadb-clients 10.4.10-2
mariadb-libs 10.4.10-2
mbedtls 2.16.3-1
mdadm 4.1-2
media-player-info 24-1
megasync 4.2.5-1
mesa 19.2.7-1
mesa-demos 8.4.0-2
meson 0.52.1-1
metis 5.1.0.p6-1
minizip 1:1.2.11-4
mjpegtools 2.1.0-4
mkinitcpio 27-2
mkinitcpio-busybox 1.31.1-1
mkvtoolnix-cli 40.0.0-1
mkvtoolnix-gui 40.0.0-1
mobile-broadband-provider-info 20190618-1
mod_dnssd 0.6-7
mousetweaks 3.32.0-1
mozilla-common 1.4-5
mpfr 4.0.2-2
mpg123 1.25.13-1
mtdev 1.1.5-2
mtools 4.0.23-1
mutter 3.34.2-1
mypaint-brushes1 1.3.0-1
nano 4.6-1
nautilus 3.34.2-1
nautilus-sendto 3.8.6+14+ge8a3604-1
nautilus-share 0.7.3-8
ncurses 6.1-7
ndctl 67-1
neofetch 6.1.0-1
neon 0.30.2-3
net-snmp 5.8-4
net-tools 1.60.20181103git-2
netcf 0.2.8-7
netctl 1.20-2
netpbm 10.73.28-1
nettle 3.5.1-2
networkmanager 1.20.8-1
networkmanager-openvpn 1.8.10-1
ninja 1.9.0-2
nm-connection-editor 1.8.24-1
nmap 7.80-1
notepadqq 1.4.8-2
noto-fonts 20190926-3
npth 1.6-2
nspr 4.24-1
nss 3.48-1
ntfs-3g 2017.3.23-3
numactl 2.0.13-1
oath-toolkit 2.6.2-7
oniguruma 6.9.4-1
openal 1.20.0-1
opencore-amr 0.1.5-3
openexr 2.4.0-6
openjpeg2 2.3.1-1
openresolv 3.9.2-2
openssh 8.1p1-2
openssl 1.1.1.d-2
openssl-1.0 1.0.2.t-1
openvpn 2.4.8-1
opera 65.0.3467.69-1
opus 1.3.1-1
orc 0.4.31-1
orca 3.34.1-1
osinfo-db 20190920-1
p11-kit 0.23.18.1-2
p7zip 16.02-5
package-query 1.10-1
pacman 5.2.1-1
pacman-mirrorlist 20191001-2
pam 1.3.1-2
pamac-aur 9.1.1-1
pambase 20190105.1-2
pango 1:1.44.7-1
pangomm 2.42.0-1
papirus-icon-theme 20191201-1
parted 3.3-1
patch 2.7.6-8
pavucontrol 1:4.0-1
pciutils 3.6.2-2
pcre 8.43-2
pcre2 10.34-2
pcsclite 1.8.25-1
perl 5.30.1-1
perl-error 0.17028-1
perl-mailtools 2.21-2
perl-parse-yapp 1.21-2
perl-timedate 2.30-6
phodav 2.3-1
php 7.4.0-2
php-apache 7.4.0-2
phpmyadmin 4.9.2-1
pinentry 1.1.0-5
pipewire 0.2.7-1
pixman 0.38.4-1
pkcs11-helper 1.25.1-2
pkgconf 1.6.3-3
polkit 0.116-3
poppler 0.82.0-1
poppler-data 0.4.9-1
poppler-glib 0.82.0-1
popt 1.16-12
portaudio 1:19.6.0-6
procps-ng 3.3.15-2
protobuf 3.10.1-1
psmisc 23.3-2
pulseaudio 13.0-2
pulseaudio-alsa 2-5
pulseaudio-bluetooth 13.0-2
pulseaudio-equalizer 13.0-2
pygobject-devel 3.34.0-3
pygtk 2.24.0-8
pyqt5-common 5.13.2-3
python 3.8.0-1
python-anytree 2.7.3-1
python-appdirs 1.4.3-5
python-atspi 2.34.0-3
python-attrs 19.3.0-3
python-beaker 1.11.0-3
python-cachecontrol 0.12.5-6
python-cairo 1.18.2-3
python-chardet 3.0.4-4
python-colorama 0.4.3-1
python-dbus 1.2.14-1
python-dbus-common 1.2.14-1
python-distlib 0.3.0-1
python-distro 1.4.0-3
python-gobject 3.34.0-3
python-html5lib 1.0.1-7
python-idna 2.8-3
python-importlib-metadata 0.23-2
python-lockfile 0.12.2-6
